,HISSE,INDUSTRY-1,SEKTOR-1,INDUSTRY-2,SEKTOR-2,INDUSTRY-3,SEKTOR-3,INDUSTRY-4,SEKTOR-4
0,ADESE,Discount Stores,Consumer Defensive,Discount Stores,Consumer Defensive,Discount Stores,Consumer Defensive,Discount Stores,Consumer Defensive
1,AEFES,Beverages—Brewers,Consumer Defensive,Beverages—Brewers,Consumer Defensive,Beverages—Brewers,Consumer Defensive,Beverages—Brewers,Consumer Defensive
2,AGHOL,Beverages—Non-Alcoholic,Consumer Defensive,Beverages—Non-Alcoholic,Industrials,Beverages—Non-Alcoholic,Industrials,Beverages—Non-Alcoholic,Consumer Defensive
3,AKBNK,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
4,AKSA,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
5,AKSEN,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities
6,ALARK,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
7,ALGYO,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate
8,ALKIM,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials,Paper & Paper Products,Basic Materials
9,ARCLK,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical
10,ARDYZ,Software—Infrastructure,Technology,Software—Infrastructure,Technology,Software—Infrastructure,Technology,Software—Infrastructure,Technology
11,ASELS,Aerospace & Defense,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense,Industrials
12,AYDEM,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities
13,BASGZ,Utilities—Regulated Gas,Utilities,Utilities—Regulated Gas,Utilities,Utilities—Regulated Gas,Utilities,Utilities—Regulated Gas,Utilities
14,BERA,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
15,BIMAS,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive
16,BIOEN,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities
17,BRISA,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical
18,BRYAT,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
19,CANTE,Utilities—Independent Power Producers,Utilities,Utilities—Independent Power Producers,Utilities,Utilities—Independent Power Producers,Utilities,Utilities—Independent Power Producers,Utilities
20,CCOLA,Beverages—Non-Alcoholic,Consumer Defensive,Beverages—Non-Alcoholic,Consumer Defensive,Beverages—Non-Alcoholic,Consumer Defensive,Beverages—Non-Alcoholic,Consumer Defensive
21,CEMAS,Metal Fabrication,Industrials,Metal Fabrication,Industrials,Metal Fabrication,Industrials,Metal Fabrication,Industrials
22,CIMSA,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials
23,DEVA,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare
24,DOAS,Auto & Truck Dealerships,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical
25,DOHOL,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
26,ECILC,Drug Manufacturers—General,Healthcare,Drug Manufacturers—General,Healthcare,Drug Manufacturers—General,Healthcare,Drug Manufacturers—General,Healthcare
27,EGEEN,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical
28,EKGYO,REIT—Residential,Real Estate,REIT—Residential,Real Estate,REIT—Residential,Real Estate,REIT—Residential,Real Estate
29,ENJSA,Utilities—Regulated Electric,Utilities,Utilities—Regulated Electric,Utilities,Utilities—Regulated Electric,Utilities,Utilities—Regulated Electric,Utilities
30,ENKAI,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials
31,ERBOS,Metal Fabrication,Industrials,Metal Fabrication,Industrials,Metal Fabrication,Industrials,Metal Fabrication,Industrials
32,EREGL,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
33,ESEN,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities
34,FROTO,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
35,GARAN,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
36,GENIL,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare
37,GESAN,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials
38,GLYHO,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
39,GOZDE,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
40,GUBRF,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
41,HALKB,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
42,HEKTS,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
43,INDES,Computer Hardware,Technology,Computer Hardware,Technology,Computer Hardware,Technology,Computer Hardware,Technology
44,IPEKE,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials
45,ISCTR,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
46,ISDMR,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
47,ISFIN,Credit Services,Financial Services,Credit Services,Financial Services,Credit Services,Financial Services,Credit Services,Financial Services
48,ISGYO,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate
49,ISMEN,Capital Markets,Financial Services,Capital Markets,Financial Services,Capital Markets,Financial Services,Capital Markets,Financial Services
50,IZMDC,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
51,KARSN,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
52,KARTN,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical,Packaging & Containers,Consumer Cyclical
53,KCHOL,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
54,KERVT,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive
55,KORDS,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
56,KOZAA,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials,Other Industrial Metals & Mining,Basic Materials
57,KOZAL,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials,Gold,Basic Materials
58,KRDMD,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
59,KRVGD,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive
60,LOGO,Software—Application,Technology,Software—Application,Technology,Software—Application,Technology,Software—Application,Technology
61,MAVI,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical,Apparel Retail,Consumer Cyclical
62,MGROS,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive,Grocery Stores,Consumer Defensive
63,NTHOL,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services,Consumer Cyclical
64,ODAS,Utilities—Regulated Electric,Utilities,Utilities—Regulated Electric,Utilities,Utilities—Regulated Electric,Utilities,Utilities—Regulated Electric,Utilities
65,OTKAR,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
66,OYAKC,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials
67,PETKM,Chemicals,Basic Materials,Chemicals,Basic Materials,Chemicals,Basic Materials,Chemicals,Basic Materials
68,PGSUS,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials
69,QUAGR,Building Products & Equipment,Industrials,Building Products & Equipment,Industrials,Building Products & Equipment,Industrials,Building Products & Equipment,Industrials
70,RTALB,Biotechnology,Healthcare,Biotechnology,Healthcare,Biotechnology,Healthcare,Biotechnology,Healthcare
71,SAHOL,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
72,SARKY,Copper,Basic Materials,Copper,Basic Materials,Copper,Basic Materials,Copper,Basic Materials
73,SASA,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical,Textile Manufacturing,Consumer Cyclical
74,SELEC,Pharmaceutical Retailers,Healthcare,Pharmaceutical Retailers,Healthcare,Pharmaceutical Retailers,Healthcare,Pharmaceutical Retailers,Healthcare
75,SISE,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals,Basic Materials
76,SKBNK,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
77,SOKM,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical,Department Stores,Consumer Cyclical
78,TAVHL,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials,Airports & Air Services,Industrials
79,TCELL,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
80,THYAO,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials,Airlines,Industrials
81,TKFEN,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials,Engineering & Construction,Industrials
82,TKNSA,Specialty Retail,Consumer Cyclical,Specialty Retail,Consumer Cyclical,Specialty Retail,Consumer Cyclical,Specialty Retail,Consumer Cyclical
83,TOASO,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical
84,TTRAK,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
85,TRGYO,REIT—Retail,Real Estate,REIT—Retail,Real Estate,REIT—Retail,Real Estate,REIT—Retail,Real Estate
86,TSKB,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
87,TTKOM,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services,Telecom Services,Communication Services
88,TUPRS,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,Energy
89,TURSG,Insurance—Property & Casualty,Financial Services,Insurance—Property & Casualty,Financial Services,Insurance—Property & Casualty,Financial Services,Insurance—Property & Casualty,Financial Services
90,ULKER,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive,Confectioners,Consumer Defensive
91,VAKBN,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
92,VERUS,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
93,VESBE,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical
94,VESTL,Consumer Electronics,Technology,Consumer Electronics,Technology,Consumer Electronics,Technology,Consumer Electronics,Technology
95,YATAS,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical
96,YKBNK,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
97,ZOREN,Utilities—Diversified,Utilities,Utilities—Diversified,Utilities,Utilities—Diversified,Utilities,Utilities—Diversified,Utilities
98,ZRGYO,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate
99,ARASE,Utilities—Independent Power Producers,Utilities,Utilities—Independent Power Producers,Utilities,Utilities—Independent Power Producers,Utilities,Utilities—Independent Power Producers,Utilities
100,GSDHO,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
101,GWIND,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities,Utilities—Renewable,Utilities
102,JANTS,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical,Auto Parts,Consumer Cyclical
103,KONTR,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials,Conglomerates,Industrials
104,KUTPO,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Cyclical
105,KZBGY,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate
106,NUGYO,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate
107,SNGYO,REIT—Residential,Real Estate,REIT—Residential,Real Estate,REIT—Residential,Real Estate,REIT—Residential,Real Estate
108,TRILC,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare,Drug Manufacturers—Specialty & Generic,Healthcare
109,AKFGY,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate,REIT—Hotel & Motel,Real Estate
110,ALBRK,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services,Banks—Regional,Financial Services
111,BAGFS,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials,Agricultural Inputs,Basic Materials
112,BUCIM,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials,Building Materials,Basic Materials
113,CEMTS,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials,Steel,Basic Materials
114,INVES,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services,Asset Management,Financial Services
115,PSGYO,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate,REIT—Diversified,Real Estate
116,PRKAB,Electrical Equipment & Parts,Industrials,Electrical Equipment & Parts,Industrials,Electrical Equipment & Parts,Industrials,Electrical Equipment & Parts,Industrials
117,SMRTG,Solar,Technology,Solar,Technology,Solar,Technology,Solar,Technology
118,TMSN,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery,Industrials
119,TSPOR,Broadcasting,Communication Services,Broadcasting,Communication Services,Broadcasting,Communication Services,Broadcasting,Communication Services
120,TUKAS,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive,Packaged Foods,Consumer Defensive
121,YYLGD,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive,Farm Products,Consumer Defensive
