,HISSE,Unnamed: 0,INDUSTRY-20,SEKTOR-20,pay kodu,Unnamed: 0,pay adi,1ceyrek,2ceyrek,3ceyrek,4ceyrek,5ceyrek
0,AEFES,0,Beverages/Brewers,Consumer Defensive,AEFES,9.0,ANADOLU EFES,XU100,XU100,XU100,XU100,XU100
1,AGHOL,1,Beverages/Non-Alcoholic,Consumer Defensive,AGHOL,0.0,ANADOLU GRUBU HOLDING,XU100,XU100,XU100,XU100,XU100
2,AKBNK,2,Banks/Regional,Financial Services,AKBNK,1.0,AKBANK,XU100,XU100,XU100,XU100,XU100
3,AKCNS,99,Building Materials,Basic Materials,AKCNS,96.0,AKCANSA,,XU100,XU100,XU100,XU100
4,AKGRT,3,Insurance/Diversified,Financial Services,AKGRT,4.0,AKSIGORTA,XU100,XU100,XU100,XU100,XU100
5,AKSA,4,Textile Manufacturing,Consumer Cyclical,AKSA,2.0,AKSA,XU100,XU100,XU100,XU100,XU100
6,AKSEN,5,Utilities/Renewable,Utilities,AKSEN,3.0,AKSA ENERJI,XU100,XU100,XU100,XU100,XU100
7,AKSGY,106,REIT/Diversified,Real Estate,AKSGY,106.0,AKIS GMYO,,,,,XU100
8,ALARK,6,Conglomerates,Industrials,ALARK,6.0,ALARKO HOLDING,XU100,XU100,XU100,XU100,XU100
9,ALBRK,7,Banks/Regional,Financial Services,ALBRK,7.0,ALBARAKA TURK,XU100,XU100,XU100,XU100,XU100
10,ALCTL,107,Communication Equipment,Technology,ALCTL,107.0,ALCATEL LUCENT TELETAS,,,,,XU100
11,ALGYO,8,REIT/Diversified,Real Estate,ALGYO,5.0,ALARKO GMYO,XU100,XU100,XU100,XU100,XU100
12,ALKIM,9,Paper & Paper Products,Basic Materials,ALKIM,8.0,ALKIM KIMYA,XU100,XU100,XU100,XU100,XU100
13,ANACM,10,BIRLES,BIRLES,ANHYT,10.0,ANADOLU HAYAT EMEK.,XU100,XU100,XU100,,
14,ANHYT,11,Insurance/Life,Financial Services,ARCLK,11.0,ARCELIK,XU100,XU100,XU100,XU100,XU100
15,ARCLK,12,Furnishings & Fixtures & Appliances,Consumer Cyclical,ARDYZ,105.0,ARD BILISIM TEKNOLOJILERI,,,,,XU100
16,ARDYZ,108,Software/Infrastructure,Technology,ASELS,12.0,ASELSAN,XU100,XU100,XU100,XU100,XU100
17,ASELS,13,Aerospace & Defense,Industrials,AYGAZ,13.0,AYGAZ,XU100,XU100,XU100,XU100,XU100
18,AYGAZ,14,Utilities/Regulated Gas,Utilities,BAGFS,102.0,BAGFAS,,,,XU100,XU100
19,BIMAS,15,Grocery Stores,Consumer Defensive,BIMAS,15.0,BIM MAGAZALAR,XU100,XU100,XU100,XU100,XU100
20,BIZIM,16,Department Stores,Consumer Cyclical,BIZIM,16.0,BIZIM MAGAZALARI,XU100,XU100,XU100,XU100,XU100
21,BRISA,17,Auto Parts,Consumer Cyclical,BRISA,18.0,BRISA,XU100,XU100,XU100,XU100,XU100
22,BRSAN,18,Steel,Basic Materials,BRSAN,17.0,BORUSAN MANNESMANN,XU100,XU100,XU100,XU100,XU100
23,BTCIM,19,Building Materials,Basic Materials,BTCIM,14.0,BATI CIMENTO,XU100,,,,
24,BUCIM,20,Building Materials,Basic Materials,BUCIM,19.0,BURSA CIMENTO,XU100,XU100,XU100,XU100,XU100
25,CCOLA,21,Beverages/Non-Alcoholic,Consumer Defensive,CCOLA,20.0,COCA COLA ICECEK,XU100,XU100,XU100,XU100,XU100
26,CEMTS,22,Steel,Basic Materials,CEMTS,22.0,CEMTAS,XU100,XU100,XU100,XU100,XU100
27,CIMSA,23,Building Materials,Basic Materials,CIMSA,23.0,CIMSA,XU100,XU100,XU100,XU100,XU100
28,CLEBI,24,Airports & Air Services,Industrials,CLEBI,21.0,CELEBI,XU100,XU100,XU100,XU100,XU100
29,DEVA,25,Drug Manufacturers/Specialty & Generic,Healthcare,DEVA,24.0,DEVA HOLDING,XU100,XU100,XU100,XU100,XU100
30,DOAS,26,Auto & Truck Dealerships,Consumer Cyclical,DOAS,26.0,DOGUS OTOMOTIV,XU100,XU100,XU100,XU100,XU100
31,DOCO,104,Airports & Air Services,Industrials,DOCO,103.0,DO-CO,,,,XU100,XU100
32,DOHOL,27,Conglomerates,Industrials,DOHOL,25.0,DOGAN HOLDING,XU100,XU100,XU100,XU100,XU100
33,ECILC,28,Drug Manufacturers/General,Healthcare,ECILC,27.0,ECZACIBASI ILAC,XU100,XU100,XU100,XU100,XU100
34,ECZYT,29,Conglomerates,Industrials,ECZYT,28.0,ECZACIBASI YATIRIM,XU100,XU100,XU100,,
35,EGEEN,30,Auto Parts,Consumer Cyclical,EGEEN,29.0,EGE ENDUSTRI,XU100,XU100,XU100,XU100,XU100
36,EKGYO,31,REIT/Residential,Real Estate,EKGYO,30.0,EMLAK KONUT GMYO,XU100,XU100,XU100,XU100,XU100
37,ENJSA,32,Utilities/Regulated Electric,Utilities,ENJSA,31.0,ENERJISA ENERJI,XU100,XU100,XU100,XU100,XU100
38,ENKAI,33,Engineering & Construction,Industrials,ENKAI,32.0,ENKA INSAAT,XU100,XU100,XU100,XU100,XU100
39,ERBOS,34,Metal Fabrication,Industrials,ERBOS,33.0,ERBOSAN,XU100,,,,
40,EREGL,35,Steel,Basic Materials,EREGL,34.0,EREGLI DEMIR CELIK,XU100,XU100,XU100,XU100,XU100
41,FROTO,36,Auto Manufacturers,Consumer Cyclical,FROTO,35.0,FORD OTOSAN,XU100,XU100,XU100,XU100,XU100
42,GARAN,37,Banks/Regional,Financial Services,GARAN,36.0,GARANTI BANKASI,XU100,XU100,XU100,XU100,XU100
43,GLYHO,100,Conglomerates,Industrials,GLYHO,97.0,GLOBAL YAT. HOLDING,,XU100,XU100,XU100,
44,GOODY,38,Auto Parts,Consumer Cyclical,GOODY,37.0,GOOD-YEAR,XU100,XU100,XU100,XU100,XU100
45,GOZDE,39,Asset Management,Financial Services,GOZDE,38.0,GOZDE GIRISIM,XU100,XU100,XU100,XU100,XU100
46,GSDHO,40,Asset Management,Financial Services,GSDHO,39.0,GSD HOLDING,XU100,,,XU100,XU100
47,GUBRF,41,Agricultural Inputs,Basic Materials,GUBRF,40.0,GUBRE FABRIK.,XU100,XU100,XU100,XU100,XU100
48,HALKB,42,Banks/Regional,Financial Services,HALKB,75.0,T. HALK BANKASI,XU100,XU100,XU100,XU100,XU100
49,HEKTS,43,Agricultural Inputs,Basic Materials,HEKTS,42.0,HEKTAS,XU100,XU100,XU100,XU100,XU100
50,HLGYO,44,REIT/Diversified,Real Estate,HLGYO,41.0,HALK GMYO,XU100,XU100,XU100,XU100,XU100
51,INDES,45,Computer Hardware,Technology,INDES,43.0,INDEKS BILGISAYAR,XU100,,,,XU100
52,IPEKE,46,Gold,Basic Materials,IPEKE,44.0,IPEK DOGAL ENERJI,XU100,XU100,XU100,XU100,XU100
53,ISCTR,47,Banks/Regional,Financial Services,ISCTR,45.0,IS BANKASI (C),XU100,XU100,XU100,XU100,XU100
54,ISFIN,48,Credit Services,Financial Services,ISDMR,46.0,ISKENDERUN DEMIR CELIK,XU100,XU100,XU100,XU100,XU100
55,ISGYO,49,REIT/Diversified,Real Estate,ISFIN,47.0,IS FIN.KIR.,XU100,XU100,XU100,XU100,XU100
56,ISMEN,50,Capital Markets,Financial Services,ISGYO,48.0,IS GMYO,XU100,XU100,XU100,XU100,XU100
57,KAREL,51,Communication Equipment,Technology,ISMEN,49.0,IS Y. MEN. DEG.,XU100,XU100,XU100,XU100,XU100
58,KARSN,52,Auto Manufacturers,Consumer Cyclical,KAREL,51.0,KAREL ELEKTRONIK,XU100,XU100,XU100,XU100,XU100
59,KARTN,53,Packaging & Containers,Consumer Cyclical,KARSN,52.0,KARSAN OTOMOTIV,XU100,XU100,XU100,XU100,
60,KCHOL,54,Conglomerates,Industrials,KARTN,53.0,KARTONSAN,XU100,XU100,XU100,XU100,XU100
61,KERVT,55,Packaged Foods,Consumer Defensive,KCHOL,56.0,KOC HOLDING,XU100,XU100,XU100,XU100,XU100
62,KLMSN,56,Specialty Industrial Machinery,Industrials,KERVT,54.0,KEREVITAS GIDA,XU100,XU100,XU100,XU100,XU100
63,KORDS,57,Textile Manufacturing,Consumer Cyclical,KLMSN,55.0,KLIMASAN KLIMA,XU100,XU100,XU100,XU100,
64,KOZAA,58,Other Industrial Metals & Mining,Basic Materials,KORDS,57.0,KORDSA TEKNIK TEKSTIL,XU100,XU100,XU100,XU100,XU100
65,KOZAL,59,Gold,Basic Materials,KOZAA,59.0,KOZA MADENCILIK,XU100,XU100,XU100,XU100,XU100
66,KRDMD,60,Steel,Basic Materials,KOZAL,58.0,KOZA ALTIN,XU100,XU100,XU100,XU100,XU100
67,LOGO,61,Software/Application,Technology,KRDMD,50.0,KARDEMIR (D),XU100,XU100,XU100,XU100,XU100
68,MAVI,62,Apparel Retail,Consumer Cyclical,LOGO,60.0,LOGO YAZILIM,XU100,XU100,XU100,XU100,XU100
69,MGROS,63,Grocery Stores,Consumer Defensive,MAVI,61.0,MAVI GIYIM,XU100,XU100,XU100,XU100,XU100
70,MPARK,64,Medical Care Facilities,Healthcare,MGROS,63.0,MIGROS TICARET,XU100,XU100,XU100,XU100,XU100
71,NETAS,65,Communication Equipment,Technology,MPARK,62.0,MLP SAGLIK,XU100,XU100,XU100,XU100,XU100
72,NTHOL,66,Travel Services,Consumer Cyclical,NETAS,65.0,NETAS TELEKOM.,XU100,XU100,XU100,XU100,XU100
73,ODAS,67,Utilities/Regulated Electric,Utilities,NTHOL,64.0,NET HOLDING,XU100,XU100,XU100,XU100,XU100
74,OTKAR,68,Auto Manufacturers,Consumer Cyclical,ODAS,66.0,ODAS ELEKTRIK,XU100,XU100,XU100,XU100,XU100
75,OYAKC,105,Building Materials,Basic Materials,OTKAR,67.0,OTOKAR,XU100,XU100,XU100,XU100,XU100
76,OZKGY,101,REIT/Diversified,Real Estate,OYAKC,104.0,OYAK CIMENTO,,,,XU100,XU100
77,PETKM,69,Chemicals,Basic Materials,OZKGY,98.0,OZAK GMYO,,XU100,XU100,XU100,XU100
78,PETUN,109,Packaged Foods,Consumer Defensive,PETKM,69.0,PETKIM,XU100,XU100,XU100,XU100,XU100
79,PGSUS,70,Airlines,Industrials,PETUN,108.0,PINAR ET VE UN,,,,,XU100
80,PNSUT,110,Packaged Foods,Consumer Defensive,PGSUS,68.0,PEGASUS,XU100,XU100,XU100,XU100,XU100
81,RYGYO,102,REIT/Industrial,Real Estate,PNSUT,109.0,PINAR SUT,,,,,XU100
82,SAHOL,71,Banks/Regional,Financial Services,RYGYO,99.0,REYSAS GMYO,,XU100,XU100,,
83,SARKY,72,Copper,Basic Materials,SAHOL,70.0,SABANCI HOLDING,XU100,XU100,XU100,XU100,XU100
84,SASA,73,Textile Manufacturing,Consumer Cyclical,SARKY,101.0,SARKUYSAN,,,XU100,,
85,SELEC,103,Pharmaceutical Retailers,Healthcare,SASA,71.0,SASA POLYESTER,XU100,XU100,XU100,XU100,XU100
86,SISE,74,Specialty Chemicals,Basic Materials,SELEC,100.0,SELCUK ECZA DEPOSU,,XU100,XU100,XU100,XU100
87,SKBNK,75,Banks/Regional,Financial Services,SISE,74.0,SISE CAM,XU100,XU100,XU100,XU100,XU100
88,SODA,76,BIRLES,BIRLES,SKBNK,73.0,SEKERBANK,XU100,XU100,XU100,XU100,XU100
89,SOKM,77,Department Stores,Consumer Cyclical,SOKM,72.0,SOK MARKETLER TICARET,XU100,XU100,XU100,XU100,XU100
90,TATGD,78,Packaged Foods,Consumer Defensive,TATGD,77.0,TAT GIDA,XU100,XU100,XU100,XU100,XU100
91,TAVHL,79,Airports & Air Services,Industrials,TAVHL,78.0,TAV HAVALIMANLARI,XU100,XU100,XU100,XU100,XU100
92,TCELL,80,Telecom Services,Communication Services,TCELL,83.0,TURKCELL,XU100,XU100,XU100,XU100,XU100
93,THYAO,81,Airlines,Industrials,THYAO,86.0,TURK HAVA YOLLARI,XU100,XU100,XU100,XU100,XU100
94,TKFEN,82,Engineering & Construction,Industrials,TKFEN,79.0,TEKFEN HOLDING,XU100,XU100,XU100,XU100,XU100
95,TMSN,83,Farm & Heavy Construction Machinery,Industrials,TMSN,84.0,TUMOSAN MOTOR VE TRAKTOR,XU100,XU100,XU100,XU100,XU100
96,TOASO,84,Auto Manufacturers,Consumer Cyclical,TOASO,80.0,TOFAS OTO. FAB.,XU100,XU100,XU100,XU100,XU100
97,TRCAS,85,Utilities/Independent Power Producers,Utilities,TRCAS,82.0,TURCAS PETROL,XU100,,,,
98,TRGYO,86,REIT/Retail,Real Estate,TRGYO,81.0,TORUNLAR GMYO,XU100,XU100,XU100,XU100,XU100
99,TRKCM,87,BIRLES,BIRLES,TSKB,76.0,T.S.K.B.,XU100,XU100,XU100,XU100,XU100
100,TSKB,88,Banks/Regional,Financial Services,TTKOM,87.0,TURK TELEKOM,XU100,XU100,XU100,XU100,XU100
101,TTKOM,89,Telecom Services,Communication Services,TTRAK,88.0,TURK TRAKTOR,XU100,XU100,XU100,XU100,XU100
102,TTRAK,90,Farm & Heavy Construction Machinery,Industrials,TUPRS,85.0,TUPRAS,XU100,XU100,XU100,XU100,XU100
103,TUPRS,91,Oil & Gas Refining & Marketing,Energy,TURSG,89.0,TURKIYE SIGORTA,XU100,XU100,XU100,XU100,XU100
104,TURSG,92,Insurance/Property & Casualty,Financial Services,ULKER,90.0,ULKER BISKUVI,XU100,XU100,XU100,XU100,XU100
105,ULKER,93,Confectioners,Consumer Defensive,VAKBN,91.0,VAKIFLAR BANKASI,XU100,XU100,XU100,XU100,XU100
106,VAKBN,94,Banks/Regional,Financial Services,VESTL,92.0,VESTEL,XU100,XU100,XU100,XU100,XU100
107,VESTL,95,Consumer Electronics,Technology,YATAS,94.0,YATAS,XU100,XU100,XU100,XU100,XU100
108,YATAS,96,Furnishings & Fixtures & Appliances,Consumer Cyclical,YKBNK,93.0,YAPI VE KREDI BANK.,XU100,XU100,XU100,XU100,XU100
109,YKBNK,97,Banks/Regional,Financial Services,ZOREN,95.0,ZORLU ENERJI,XU100,XU100,XU100,XU100,XU100
110,ZOREN,98,Utilities/Diversified,Utilities,,,,,,,,
